Animation name,From frame,To frame
Idle_01,2843,2854
Idle_04,676,710
Idle_05,3084,3098
Idle_07,121,255
Idle_07,1041,1163
Idle_09,37,274
Idle_09,385,410
Idle_09,577,594
Idle_09,614,623
Idle_09,667,682
Idle_09,2139,2164
Idle_09,3628,3639
Idle_09,3813,3849
Idle_10,3652,3680
Idle_10,3702,3732
Idle_11,1731,1818
Idle_12,175,198
Idle_12,462,535
Idle_12,1200,1285
Idle_12,1606,1632
Idle_12,2172,2192
Idle_12,2480,2510
Idle_12,3506,3766
Idle_13,1019,1140
Idle_13,1527,1553
Idle_14,2247,2258
Idle_14,2280,2322
Idle_14,2358,2488
Idle_14,2518,2887
Idle_14,2994,3026
Idle_18,2078,2153
Idle_18,2236,2308
Idle_18,2440,2610
Idle_18,2843,3001
Idle_18,3015,3517
Idle_20,396,427
Idle_20,842,902
Idle_20,1036,1054
Idle_20,1082,1214
Idle_20,1228,1407
Idle_20,1754,1803
Idle_20,1873,1908
Idle_20,1999,2068
Idle_20,2300,2402
Idle_20,3240,3334
Idle_20,3384,3446
Idle_20,3507,3532
Idle_22,1663,1688
Idle_22,2245,2373
Idle_22,2610,2634
Idle_22,2808,2850
Idle_22,2908,2962
Idle_22,3072,3101
Idle_22,3237,3264
Idle_22,3319,3365
Idle_22,3375,3489
Idle_23,1979,2048
Idle_23,2102,2127
Idle_27,700,716
Idle_27,3397,3417
Idle_28,342,391
Idle_28,999,1022
Idle_28,1227,1418
Idle_28,2423,2450
Idle_35,1327,1351
Idle_35,1463,1496
Idle_37,2174,2392
Idle_37,2747,2912
Idle_37,2969,3006
Idle_37,3030,3077
Idle_38,3335,3373
Idle_39,1857,1877
Idle_39,3488,3667
Idle_42,0,88
Idle_44,2382,2403
Idle_47,1073,1094
Idle_47,1125,1205
Idle_48,2320,2336
Idle_48,2917,2953
Idle_49,1200,1488
Idle_49,1846,1923
Idle_49,2665,2715
